imgId,file,origResolution,infiPredPerson,infiProbPerson,gtPerson,infiCorrect,infiType,yoloModel,latencyMs,prepMs,totalMs,tau,stateName,cpuProcPct,cpuSysPct,pssMb,availMemMb,totalMemMb,freeMemMb,cpuFreqsKhz,gpuFreqKhz,batterySocPct,batteryTempC,batteryCurrentMa,batteryVoltageMv,batteryPowerMw,thermalLevel,preprocessMode
266409,000000266409.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,100.00,214.50,0.500,Heavy (Music + Nav + Meeting),1.27,37.93,268.00,2301.00,11499.37,531.48,,0,100,35.00,-416,4406360,-1833045.76,2,fused
438862,000000438862.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,100.00,214.50,0.500,Heavy (Music + Nav + Meeting),1.27,37.93,268.00,2301.00,11499.37,531.48,,0,100,35.00,-416,4406360,-1833045.76,2,fused
474028,000000474028.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,100.00,214.50,0.500,Heavy (Music + Nav + Meeting),1.27,37.93,268.00,2301.00,11499.37,531.48,,0,100,35.00,-416,4406360,-1833045.76,2,fused
78915,000000078915.jpg,481x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,100.00,214.50,0.500,Heavy (Music + Nav + Meeting),1.27,37.93,268.00,2301.00,11499.37,531.48,,0,100,35.00,-416,4406360,-1833045.76,2,fused
57597,000000057597.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.75,100.25,215.00,0.500,Heavy (Music + Nav + Meeting),1.80,37.93,347.58,2203.00,11499.37,487.75,,0,100,35.00,-462,4403498,-2034416.08,2,fused
559842,000000559842.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.75,100.25,215.00,0.500,Heavy (Music + Nav + Meeting),1.80,37.93,347.58,2203.00,11499.37,487.75,,0,100,35.00,-462,4403498,-2034416.08,2,fused
295713,000000295713.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.75,100.25,215.00,0.500,Heavy (Music + Nav + Meeting),1.80,37.93,347.58,2203.00,11499.37,487.75,,0,100,35.00,-462,4403498,-2034416.08,2,fused
562243,000000562243.jpg,640x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.75,100.25,215.00,0.500,Heavy (Music + Nav + Meeting),1.80,37.93,347.58,2203.00,11499.37,487.75,,0,100,35.00,-462,4403498,-2034416.08,2,fused
283520,000000283520.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.75,94.25,209.00,0.500,Heavy (Music + Nav + Meeting),2.20,37.93,428.76,2131.00,11499.37,410.49,,0,100,35.00,-541,4400859,-2380864.72,2,fused
414170,000000414170.jpg,425x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.75,94.25,209.00,0.500,Heavy (Music + Nav + Meeting),2.20,37.93,428.76,2131.00,11499.37,410.49,,0,100,35.00,-541,4400859,-2380864.72,2,fused
541055,000000541055.jpg,640x360,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.75,94.25,209.00,0.500,Heavy (Music + Nav + Meeting),2.20,37.93,428.76,2131.00,11499.37,410.49,,0,100,35.00,-541,4400859,-2380864.72,2,fused
409475,000000409475.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.75,94.25,209.00,0.500,Heavy (Music + Nav + Meeting),2.20,37.93,428.76,2131.00,11499.37,410.49,,0,100,35.00,-541,4400859,-2380864.72,2,fused
239537,000000239537.jpg,640x436,1,1.000000,1,1,TP,yolov8l_bsz4.ms,124.50,98.50,223.00,0.500,Heavy (Music + Nav + Meeting),2.52,35.48,508.72,2059.00,11499.37,334.75,,0,100,35.00,-402,4404390,-1770564.78,2,fused
537991,000000537991.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,124.50,98.50,223.00,0.500,Heavy (Music + Nav + Meeting),2.52,35.48,508.72,2059.00,11499.37,334.75,,0,100,35.00,-402,4404390,-1770564.78,2,fused
140640,000000140640.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,124.50,98.50,223.00,0.500,Heavy (Music + Nav + Meeting),2.52,35.48,508.72,2059.00,11499.37,334.75,,0,100,35.00,-402,4404390,-1770564.78,2,fused
386352,000000386352.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,124.50,98.50,223.00,0.500,Heavy (Music + Nav + Meeting),2.52,35.48,508.72,2059.00,11499.37,334.75,,0,100,35.00,-402,4404390,-1770564.78,2,fused
221291,000000221291.jpg,335x500,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,97.50,211.50,0.500,Heavy (Music + Nav + Meeting),2.79,35.48,348.47,2229.00,11499.37,502.50,,0,100,35.00,-375,4405752,-1652157.00,2,fused
410650,000000410650.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,97.50,211.50,0.500,Heavy (Music + Nav + Meeting),2.79,35.48,348.47,2229.00,11499.37,502.50,,0,100,35.00,-375,4405752,-1652157.00,2,fused
202228,000000202228.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,97.50,211.50,0.500,Heavy (Music + Nav + Meeting),2.79,35.48,348.47,2229.00,11499.37,502.50,,0,100,35.00,-375,4405752,-1652157.00,2,fused
559956,000000559956.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,97.50,211.50,0.500,Heavy (Music + Nav + Meeting),2.79,35.48,348.47,2229.00,11499.37,502.50,,0,100,35.00,-375,4405752,-1652157.00,2,fused
253742,000000253742.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,131.00,97.50,228.50,0.500,Heavy (Music + Nav + Meeting),2.96,35.48,422.24,2140.00,11499.37,411.39,,0,100,35.00,-528,4399750,-2323068.00,3,fused
518770,000000518770.jpg,500x375,1,1.000000,1,1,TP,yolov8l_bsz4.ms,131.00,97.50,228.50,0.500,Heavy (Music + Nav + Meeting),2.96,35.48,422.24,2140.00,11499.37,411.39,,0,100,35.00,-528,4399750,-2323068.00,3,fused
286553,000000286553.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,131.00,97.50,228.50,0.500,Heavy (Music + Nav + Meeting),2.96,35.48,422.24,2140.00,11499.37,411.39,,0,100,35.00,-528,4399750,-2323068.00,3,fused
458992,000000458992.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,131.00,97.50,228.50,0.500,Heavy (Music + Nav + Meeting),2.96,35.48,422.24,2140.00,11499.37,411.39,,0,100,35.00,-528,4399750,-2323068.00,3,fused
123213,000000123213.jpg,640x392,1,1.000000,1,1,TP,yolov8l_bsz4.ms,127.00,114.00,241.00,0.500,Heavy (Music + Nav + Meeting),3.14,34.65,501.30,2059.00,11499.37,323.66,,0,100,35.00,-286,4409231,-1261040.07,3,fused
91406,000000091406.jpg,640x424,1,1.000000,1,1,TP,yolov8l_bsz4.ms,127.00,114.00,241.00,0.500,Heavy (Music + Nav + Meeting),3.14,34.65,501.30,2059.00,11499.37,323.66,,0,100,35.00,-286,4409231,-1261040.07,3,fused
218439,000000218439.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,127.00,114.00,241.00,0.500,Heavy (Music + Nav + Meeting),3.14,34.65,501.30,2059.00,11499.37,323.66,,0,100,35.00,-286,4409231,-1261040.07,3,fused
579307,000000579307.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,127.00,114.00,241.00,0.500,Heavy (Music + Nav + Meeting),3.14,34.65,501.30,2059.00,11499.37,323.66,,0,100,35.00,-286,4409231,-1261040.07,3,fused
567640,000000567640.jpg,640x425,1,1.000000,1,1,TP,yolov8l_bsz4.ms,129.00,104.00,233.00,0.500,Heavy (Music + Nav + Meeting),8.19,34.65,371.39,2192.00,11499.37,453.78,,0,100,35.00,-224,4411459,-988166.82,3,fused
45550,000000045550.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,129.00,104.00,233.00,0.500,Heavy (Music + Nav + Meeting),8.19,34.65,371.39,2192.00,11499.37,453.78,,0,100,35.00,-224,4411459,-988166.82,3,fused
229849,000000229849.jpg,427x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,129.00,104.00,233.00,0.500,Heavy (Music + Nav + Meeting),8.19,34.65,371.39,2192.00,11499.37,453.78,,0,100,35.00,-224,4411459,-988166.82,3,fused
